Documento Fornecedor,Fornecedor,Contrato 1,Contrato 2,Contrato 3,Contrato 4,Contrato 5,Contrato 6,Contrato 7,Contrato 8,Contrato 9,Contrato 10,Filial1,Filial2,Filial3,Filial4,Filial5,Filial6
51808742000189,51.808.742 THIAGO DE ASSIS DOMINGOS,,,,,,,,,,,,,,,,
29132851000170,ADAPTIVA ENGENHARIA E CONSTRUCAO LTDA,ADAPTIVA x FLN,,,,,,,,,,CAIF,,,,,
04812571000181,ALPES ENGENHARIA LTDA,VIX. 25.ENG.1960,MEA. 25.ENG.1990,,,,,,,,,,,,,,
04432182000120,AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,,,,,,,,,,,,,,,,
48572080000186,BLUEGROUND AIRPORT SERVICES LTDA,,,,,,,,,,,,,,,,
03938048000133,BROOKS AMBIENTAL LTDA,23.007-00,,,,,,,,,,CAIF,,,,,
76324110000170,CALHAS REIS LTDA,FLN2026-1,,,,,,,,,,CAIF,,,,,
61603387000165,CENTRO SANEAMENTO E SERVICOS AVANCADOS LTDA,CAIF.24MA.0460,,,,,,,,,,CAIF,,,,,
07230898000133,CONTROLLER BMS COMERCIO E SERVICOS PARA AUTOMACAO LTDA,MEA.CT.23.031-00,CAIF.CT.23.031-00,CAIN.CT.23.031-00,VIX.CT.23.031-00,,,,,,,CAIF,VIX,CAIF,MEA,,
31733363000160,CORPUS SANEAMENTO E OBRAS LTDA,,,,,,,,,,,,,,,,
03872184000178,ECOTECH ASSESSORIA AMBIENTAL LTDA,ZAB.25.MA.2377,,,,,,,,,,CAIF,,,,,
52176523000197,FOKUS CONSULTORIA LTDA,ZAB.CT.23.026-00,ZAB.CT.23.026-00,ZAB.CT.23.026-00,ZAB.CT.23.026-00,CAIN.SUP.24.011-00,CAIF.24.OPERAÇÕES.0398,ZAB.25.SESMT.0979,ZAB.25.SESMT.0979,ZAB.25.SESMT.0979,ZAB.25.SESMT.0979,CAIF,,,,,
26978458000103,G.R. TURISMO E TRANSPORTE LTDA,MEA.CT.22.006-00 AEROPORTOS,,,,,,,,,,MEA,,,,,
87169900001117,GRABER SEGURANCA LTDA,MES.CT.23.018-00,,,,,,,,,,MEA,,,,,
05208211001100,IN HAUS INDUSTRIAL E SERVICOS DE LOGISTICA S/A,CAIN.SUP.24.002-00,,,,,,,,,,CAIN,,,,,
60088964000165,JR SERVICOS AEROPORTUARIOS E LOGISTICA LTDA,VIX.CT.23.015-00,,,,,,,,,,VIX,,,,,
13389550000277,KARUANA SERVICOS AUXILIARES DE TRANSPORTE AEREO LTDA,ZAB.25.AVSEC.1510,,,,,,,,,,CAIN,,,,,
13389550000358,KARUANA SERVICOS AUXILIARES DE TRANSPORTE AEREO LTDA,ZAB.25.AVSEC.1510,,,,,,,,,,CAIF,,,,,
13389550000196,KARUANA SERVICOS AUXILIARES DE TRANSPORTE AEREO LTDA,ZAB.25.AVSEC.1510,,,,,,,,,,VIX,,,,,
34331150000108,LEVE ESTACIONAMENTO LTDA,VIX.24004,00,CAIN.SUP.24.008-00,,,,,,,,VIX,,,,,
11394929000169,LINHA AMBIENTAL CONSULTORIA EM NEGOCIOS E MEIO AMBIENTE LTDA.,NATAL: ZAB 23.010-00 – CAIN,FLORIANOPOLIS: ZAB 23.010-00 – FLN,MACAE: ZAB 23.010-00 – MEA,VITORIA: ZAB 23.010-00 - VIX,,,,,,,,,,,,
20845454000170,MATICA ENGENHARIA LTDA,MATICA x FLN,,,,,,,,,,CAIF,,,,,
09557452000143,MED MAIS SOLUCOES EM SERVICOS ESPECIAIS LTDA,ZAB.CT.24.009-00,FLN ZAB.CT.24.009-00,MEA VIX.24.SA.0745,,,,,,,,,,,,,
03772367000111,METAL M.I.B. LTDA,FLN2026-2,,,,,,,,,,CAIF,,,,,
07760239000109,NEPOS SISTEMAS DE CONTROLE E AUTOMACAO EM ESTACIONAMENTO E TRAFEGO LTDA.,VIX.24.MANUTENÇÃO.0200,,,,,,,,,,VIX,,,,,
45654990000110,ONET ENGENHARIA E MANUTENCAO LTDA,ZAB.CT.23.023-00,CAIN.25.MA.1063,,,,,,,,,CAIF,MEA,VIX,CAIN,,
83411025000105,ONSEG SERVICOS DE VIGILANCIA E SEGURANCA LTDA,23.032-00,FLN,,,,,,,,,CAIF,,,,,
