Pe Nome Razaosocial,Pe Cpf Cnpj,Tb Pessoa Doc Certidao → Pdc Texto Pendencia,Tb Documento Certidao - Dc → Dc Titulo,Tb Solicitacao - So → So Situacao,Tb Marca Representacao - Mr → Mr Nome
TOP SERVICE SERVICOS E SISTEMAS S/A,00973749001863,"GRRF - GUIA DE RECOLHIMENTO RESCISÓRIO DO FGTS, como teve rescisão deve ter as guias do FGTS rescisório.",GRRF - GUIA DE RECOLHIMENTO RESCISÓRIO DO FGTS,APROVADO,
TELETEX COMPUTADORES E SISTEMAS LTDA,79345583000142,"KIT RESCISÃO - 05/26 - Maio 2026:

Devido à ausência da Convenção Coletiva de Trabalho (CCT) da categoria para o período correspondente, e por dependência regulatória e falta de base comparativa legal (Art. 511 da CLT), torna-se tecnicamente inviável auditar e homologar os valores apresentados na Folha de Pagamento (FOPAG), DCTFWeb, Guia do FGTS (GFD), Kit Rescisão e GRRF.",KIT RESCISÃO,APROVADO,05/26 - Maio 2026
TELETEX COMPUTADORES E SISTEMAS LTDA,79345583000142,"GRRF - GUIA DE RECOLHIMENTO RESCISÓRIO DO FGTS - 05/26 - Maio 2026:

Devido à ausência da Convenção Coletiva de Trabalho (CCT) da categoria para o período correspondente, e por dependência regulatória e falta de base comparativa legal (Art. 511 da CLT), torna-se tecnicamente inviável auditar e homologar os valores apresentados na Folha de Pagamento (FOPAG), DCTFWeb, Guia do FGTS (GFD), Kit Rescisão e GRRF.",GRRF - GUIA DE RECOLHIMENTO RESCISÓRIO DO FGTS,APROVADO,05/26 - Maio 2026
TOP SERVICE SERVICOS E SISTEMAS S/A,00973749001863,"PCMSO, Documento sem assinatura do médico coordenador do PCMSO.",PCMSO - GERAL,APROVADO,03/26 - Março 2026
TELETEX COMPUTADORES E SISTEMAS LTDA,79345583000142,"FOPAG - (FOLHA DE PAGAMENTO + RESUMO) - 05/26 - Maio 2026: 

Devido à ausência da Convenção Coletiva de Trabalho (CCT) da categoria para o período correspondente, e por dependência regulatória e falta de base comparativa legal (Art. 511 da CLT), torna-se tecnicamente inviável auditar e homologar os valores apresentados na Folha de Pagamento (FOPAG), DCTFWeb, Guia do FGTS (GFD), Kit Rescisão e GRRF.",FOPAG - (FOLHA DE PAGAMENTO + RESUMO),APROVADO,05/26 - Maio 2026
MED MAIS SOLUCOES EM SERVICOS ESPECIAIS LTDA,09557452000143,"DCTFWEB, Solicitamos o envio do documento completo conforme requerido.",DCTFWEB,APROVADO,12/25 - Dezembro 2025
TELETEX COMPUTADORES E SISTEMAS LTDA,79345583000142,"KIT RESCISÃO - 05/26 - Maio 2026:

Devido à ausência da Convenção Coletiva de Trabalho (CCT) da categoria para o período correspondente, e por dependência regulatória e falta de base comparativa legal (Art. 511 da CLT), torna-se tecnicamente inviável auditar e homologar os valores apresentados na Folha de Pagamento (FOPAG), DCTFWeb, Guia do FGTS (GFD), Kit Rescisão e GRRF.",KIT RESCISÃO,APROVADO,05/26 - Maio 2026
TELETEX COMPUTADORES E SISTEMAS LTDA,79345583000142,"GRRF - GUIA DE RECOLHIMENTO RESCISÓRIO DO FGTS - 05/26 - Maio 2026:

Devido à ausência da Convenção Coletiva de Trabalho (CCT) da categoria para o período correspondente, e por dependência regulatória e falta de base comparativa legal (Art. 511 da CLT), torna-se tecnicamente inviável auditar e homologar os valores apresentados na Folha de Pagamento (FOPAG), DCTFWeb, Guia do FGTS (GFD), Kit Rescisão e GRRF.",GRRF - GUIA DE RECOLHIMENTO RESCISÓRIO DO FGTS,APROVADO,05/26 - Maio 2026
CENTRO SANEAMENTO E SERVICOS AVANCADOS LTDA,61603387000165,"CERTIDÃO CÍVEL - TRF3 - Abrangência Regional.


REGULARIZAR DOCUMENTO.",CERTIDÃO CÍVEL - TRF3 - Abrangência Regional,APROVADO,
MATICA ENGENHARIA LTDA,20845454000170,"PCMSO, Sem assinatura legível do médico coordenador do PCMSO.",PCMSO - GERAL,APROVADO,03/26 - Março 2026
TELETEX COMPUTADORES E SISTEMAS LTDA,79345583000142,"DCTFWEB - 05/26 - Maio 2026:

Devido à ausência da Convenção Coletiva de Trabalho (CCT) da categoria para o período correspondente, e por dependência regulatória e falta de base comparativa legal (Art. 511 da CLT), torna-se tecnicamente inviável auditar e homologar os valores apresentados na Folha de Pagamento (FOPAG), DCTFWeb, Guia do FGTS (GFD), Kit Rescisão e GRRF.",DCTFWEB,APROVADO,05/26 - Maio 2026
KARUANA SERVICOS AUXILIARES DE TRANSPORTE AEREO LTDA,13389550000277,"DCTFWEB, documento incompleto.
Uma DCTFWeb completa precisa ter:
Base correta (eSocial + Reinf)
Débitos apurados corretamente
Créditos lançados
DARF gerado
Transmissão sem pendências",DCTFWEB,APROVADO,12/25 - Dezembro 2025
KARUANA SERVICOS AUXILIARES DE TRANSPORTE AEREO LTDA,13389550000277,"SESMT - composição de acordo com NR 04, deve ser enviado o documento solicitado.",SESMT - composição de acordo com NR 04,APROVADO,
KARUANA SERVICOS AUXILIARES DE TRANSPORTE AEREO LTDA,13389550000277,"DCTFWEB, documento incompleto.
Uma DCTFWeb completa precisa ter:
Base correta (eSocial + Reinf)
Débitos apurados corretamente
Créditos lançados
DARF gerado
Transmissão sem pendências",DCTFWEB,APROVADO,03/26 - Março 2026
ONSEG SERVICOS DE VIGILANCIA E SEGURANCA LTDA,83411025000105,PGR - 12/25 - Dezembro 2025- PGR de outro CNPJ,PGR - GERAL,APROVADO,12/25 - Dezembro 2025
TELETEX COMPUTADORES E SISTEMAS LTDA,79345583000142,"GFD - GUIA DO FGTS DIGITAL MENSAL - 05/26 - Maio 2026:

Devido à ausência da Convenção Coletiva de Trabalho (CCT) da categoria para o período correspondente, e por dependência regulatória e falta de base comparativa legal (Art. 511 da CLT), torna-se tecnicamente inviável auditar e homologar os valores apresentados na Folha de Pagamento (FOPAG), DCTFWeb, Guia do FGTS (GFD), Kit Rescisão e GRRF.",GFD - GUIA DO FGTS DIGITAL MENSAL,APROVADO,05/26 - Maio 2026
ONET ENGENHARIA E MANUTENCAO LTDA,45654990000110,"Avaliação ergonômica - 05/26 - Maio 2026.

A Análise Ergonômica do Trabalho (AET) apresentada vincula-se ao Aeroporto de Florianópolis/SC, divergindo da base DA CCT anexada, Após a inclusão da CCT alinhada com programas de PCMSO/PGR será realizada nova análise.",Avaliação ergonômica,APROVADO,05/26 - Maio 2026
TERRAPLEIN LTDA,21591994000138,CERTIDÃO NEGATIVA DE DÉBITOS DOS TRIBUTOS FEDERAIS: Regularizar documento.,CERTIDÃO NEGATIVA DE DÉBITOS DOS TRIBUTOS FEDERAIS,APROVADO,
CENTRO SANEAMENTO E SERVICOS AVANCADOS LTDA,61603387000165,"CERTIDÃO NEGATIVA RECEITA MUNICIPAL - 05/26 - Maio 2026.

Certidão Negativa Municipal - Deve ser emitida especificamente pela Prefeitura do município onde a empresa está localizada e serve para comprovar a regularidade de tributos municipais. 

Documento em anexo trata-se de Certidão Negativa Estadual.",CERTIDÃO NEGATIVA RECEITA MUNICIPAL,APROVADO,05/26 - Maio 2026
ONET ENGENHARIA E MANUTENCAO LTDA,45654990000110,"CIPA - composição / reuniões / atas/ treinamento.

Documento em anexo não trata-se da documentação necessária para  análise das conformidades da CIPA.",CIPA - composição / reuniões / atas/ treinamento,APROVADO,
ONET ENGENHARIA E MANUTENCAO LTDA,45654990000110,"RECIBO DE FÉRIAS + COMPROVANTE DE PAGAMENTO - 05/26 - Maio 2026:

Após a atualização/alteração do arquivo da CCT, será realizada nova análise.",RECIBO DE FÉRIAS + COMPROVANTE DE PAGAMENTO,APROVADO,05/26 - Maio 2026
ONET ENGENHARIA E MANUTENCAO LTDA,45654990000110,"CONVENÇÃO COLETIVA DA CATEGORIA:

O arquivo CCT encontra-se, sem  Número de Registro emitido pelo sistema Mediador do Ministério do Trabalho e Emprego (MTE). A ausência desse elemento impede a verificação da eficácia e vigência legal do instrumento. Exige-se o envio do Acordo Coletivo de Trabalho (ACT) em seu modelo oficial definitivo, extraído diretamente do portal do MTE, com as devidas assinaturas dos responsáveis.",CONVENÇÃO COLETIVA DA CATEGORIA GERAL,APROVADO,
ONET ENGENHARIA E MANUTENCAO LTDA,45654990000110,"FOPAG - (FOLHA DE PAGAMENTO + RESUMO) - 05/26 - Maio 2026:

Após a atualização/alteração do arquivo da CCT, será realizada nova análise.",FOPAG - (FOLHA DE PAGAMENTO + RESUMO),APROVADO,05/26 - Maio 2026
UP EMERGENCIAS LTDA,02906702000164,"CERTIDÃO NEGATIVA DE DÉBITOS DOS TRIBUTOS FEDERAIS.

Necessário regularizar documento.",CERTIDÃO NEGATIVA DE DÉBITOS DOS TRIBUTOS FEDERAIS,APROVADO,
MATICA ENGENHARIA LTDA,20845454000170,"CIPA - composição / reuniões / atas/ treinamento, Caso a empresa se enquadre na obrigatoriedade de constituição da CIPA, conforme o Quadro I da NR-05, deve apresentar a ata de constituição ou eleição, os certificados de treinamento dos membros e documento que comprove o número de empregados. Caso não se enquadre, deve apresentar o documento de designação do empregado responsável, o certificado de treinamento do designado e documento que comprove o número de empregados.",CIPA - composição / reuniões / atas/ treinamento,APROVADO,04/26 - Abril 2026
MATICA ENGENHARIA LTDA,20845454000170,"SESMT - composição de acordo com NR 04, Trazer junto da declaração documento que comprove quantidade total de trabalhadores ativos, podendo ser o E-social, GFIP/SEFIP.",SESMT - composição de acordo com NR 04,APROVADO,04/26 - Abril 2026
TELETEX COMPUTADORES E SISTEMAS LTDA,79345583000142,"GFD - GUIA DO FGTS DIGITAL MENSAL - 05/26 - Maio 2026, após o envio da CCT atualizada será realizada a análise.",GFD - GUIA DO FGTS DIGITAL MENSAL,APROVADO,05/26 - Maio 2026
SMS ESTACIONAMENTOS E SERVICOS LTDA,03528489000167,"CERTIDÃO NEGATIVA RECEITA MUNICIPAL, documento divergente, deve ser enviado o documento solicitado.",CERTIDÃO NEGATIVA RECEITA MUNICIPAL,APROVADO,02/26 - Fevereiro 2026
