Razão Social,CNPJ,Situação da Última Solicitação,Linhas de Fornecimento,Tipo,Situação Documento,Documento,Marcas e Representações,Status,Data de Vencimento,Situação Análise Documento
ADAPTIVA ENGENHARIA E CONSTRUCAO LTDA,29132851000170,APROVADO,PRESTAÇÃO DE SERVIÇOS DE REFORMA TERMINAL,SERVICO,NEUTRO,Avaliação ergonômica,,N/A,,REPROVADO
ADAPTIVA ENGENHARIA E CONSTRUCAO LTDA,29132851000170,APROVADO,PRESTAÇÃO DE SERVIÇOS DE REFORMA TERMINAL,SERVICO,,CERTIDÃO JUDICIAL CRIMINAL - TRF,,Não anexado,,NÃO ANALISADO
ADAPTIVA ENGENHARIA E CONSTRUCAO LTDA,29132851000170,APROVADO,PRESTAÇÃO DE SERVIÇOS DE REFORMA TERMINAL,SERVICO,,CERTIDÃO JUDICIAL CÍVEL - TRF,,Não anexado,,NÃO ANALISADO
ADAPTIVA ENGENHARIA E CONSTRUCAO LTDA,29132851000170,APROVADO,PRESTAÇÃO DE SERVIÇOS DE REFORMA TERMINAL,SERVICO,NEUTRO,CERTIDÃO NEGATIVA DE DÉBITOS DOS TRIBUTOS FEDERAIS,03/26 - Março 2026,Vencido,2026-06-21T00:00:00-04:00,APROVADO
ADAPTIVA ENGENHARIA E CONSTRUCAO LTDA,29132851000170,APROVADO,PRESTAÇÃO DE SERVIÇOS DE REFORMA TERMINAL,SERVICO,NEUTRO,CERTIDÃO NEGATIVA RECEITA ESTADUAL,,A vencer,2026-07-11T00:00:00-04:00,APROVADO
ADAPTIVA ENGENHARIA E CONSTRUCAO LTDA,29132851000170,APROVADO,PRESTAÇÃO DE SERVIÇOS DE REFORMA TERMINAL,SERVICO,NEUTRO,CERTIDÃO NEGATIVA RECEITA MUNICIPAL,04/26 - Abril 2026,Vencido,2026-06-07T00:00:00-04:00,APROVADO
ADAPTIVA ENGENHARIA E CONSTRUCAO LTDA,29132851000170,APROVADO,PRESTAÇÃO DE SERVIÇOS DE REFORMA TERMINAL,SERVICO,NEUTRO,CERTIFICADO DE REGULARIDADE FGTS,,N/A,,APROVADO
ADAPTIVA ENGENHARIA E CONSTRUCAO LTDA,29132851000170,APROVADO,PRESTAÇÃO DE SERVIÇOS DE REFORMA TERMINAL,SERVICO,NEUTRO,CIPA - composição / reuniões / atas/ treinamento,,N/A,,REPROVADO
ADAPTIVA ENGENHARIA E CONSTRUCAO LTDA,29132851000170,APROVADO,PRESTAÇÃO DE SERVIÇOS DE REFORMA TERMINAL,SERVICO,REGULAR,CND Federal,,Vencido,2026-06-21T00:00:00-04:00,NÃO ANALISADO
ADAPTIVA ENGENHARIA E CONSTRUCAO LTDA,29132851000170,APROVADO,PRESTAÇÃO DE SERVIÇOS DE REFORMA TERMINAL,SERVICO,NEUTRO,COMPROVANTE BANCÁRIO DE PAGAMENTO DOS SALÁRIOS,,N/A,,REPROVADO
ADAPTIVA ENGENHARIA E CONSTRUCAO LTDA,29132851000170,APROVADO,PRESTAÇÃO DE SERVIÇOS DE REFORMA TERMINAL,SERVICO,NEUTRO,CONSULTA ATUALIZADA DE OPTANTE DO SIMPLES NACIONAL,03/26 - Março 2026,A vencer,2027-05-07T00:00:00-04:00,APROVADO
ADAPTIVA ENGENHARIA E CONSTRUCAO LTDA,29132851000170,APROVADO,PRESTAÇÃO DE SERVIÇOS DE REFORMA TERMINAL,SERVICO,NEUTRO,CONVENÇÃO COLETIVA DA CATEGORIA,04/26 - Abril 2026,A vencer,2027-05-07T00:00:00-04:00,APROVADO
ADAPTIVA ENGENHARIA E CONSTRUCAO LTDA,29132851000170,APROVADO,PRESTAÇÃO DE SERVIÇOS DE REFORMA TERMINAL,SERVICO,REGULAR,Cartão CNPJ,,A vencer,2027-03-04T00:00:00-04:00,NÃO ANALISADO
ADAPTIVA ENGENHARIA E CONSTRUCAO LTDA,29132851000170,APROVADO,PRESTAÇÃO DE SERVIÇOS DE REFORMA TERMINAL,SERVICO,REGULAR,Certidão Negativa de Débitos Trabalhistas,,A vencer,2026-08-31T00:00:00-04:00,NÃO ANALISADO
