Razão Social,CPF/CNPJ,Quais códigos de contrato esse fornecedor possui atualmente?,Filial
KARUANA SERVICOS AUXILIARES DE TRANSPORTE AEREO LTDA,13389550000196,,
MATICA ENGENHARIA LTDA,20845454000170,Contrato de empreitada global com preço máximo garantido para execução de obras multidisciplinares no aeroporto internacional de FLorianópolis,
ADAPTIVA ENGENHARIA E CONSTRUCAO LTDA,29132851000170,ADAPTIVA x FLN,CAIF
BRASP SOLUCOES DE TECNOLOGIA LTDA,29915046000112,,
BRASUCA CHOCOLATES LTDA,52267894000184,,
GRABER SEGURANCA LTDA,87169900001117,MES.CT.23.018-00,
KARUANA SERVICOS AUXILIARES DE TRANSPORTE AEREO LTDA,13389550000277,ZAB.25.AVSEC.1510,
SAO FRANCISCO ATENDIMENTO EMERGENCIAL LTDA,12069791000195,CAIN.SUP.23.008-00,
LEVE ESTACIONAMENTO LTDA,34331150000108,VIX.24004/00 / CAIN.SUP.24.008-00,VIX
BROOKS AMBIENTAL LTDA,03938048000133,23.007-00,
PROTEG SEGURANCA PATRIMONIAL LTDA,08699066000123,CAIN.SUP.23.009-00,
IN HAUS INDUSTRIAL E SERVICOS DE LOGISTICA S/A,05208211001100,CAIN.SUP.24.002-00,
ORBENK ADMINISTRACAO E SERVICOS LTDA.,79283065000141,CAIF.24.MA.0445 / CAIF.25.TECA.1673,CAIF
ALPES ENGENHARIA LTDA,04812571000181,,
51.808.742 THIAGO DE ASSIS DOMINGOS,51808742000189,,
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,,
BLUEGROUND AIRPORT SERVICES LTDA,48572080000186,,
CENTRO SANEAMENTO E SERVICOS AVANCADOS LTDA,61603387000165,,
CORPUS SANEAMENTO E OBRAS LTDA,31733363000160,,
ECOTECH ASSESSORIA AMBIENTAL LTDA,03872184000178,,
FOKUS CONSULTORIA LTDA,52176523000197,,
KARUANA SERVICOS AUXILIARES DE TRANSPORTE AEREO LTDA,13389550000358,,
LINHA AMBIENTAL CONSULTORIA EM NEGOCIOS E MEIO AMBIENTE LTDA,11394929000169,,
MED MAIS SOLUCOES EM SERVICOS ESPECIAIS LTDA,09557452000143,,
NEPOS SISTEMAS DE CONTROLE E AUTOMACAO EM ESTACIONAMENTO E TRAFEGO LTDA.,07760239000109,,
ONET ENGENHARIA E MANUTENCAO LTDA,45654990000110,,
ONSEG SERVICOS DE VIGILANCIA E SEGURANCA LTDA,83411025000105,,
R.J.V ENGENHARIA LTDA,49663037000199,,
SOUZA COSTA MANUTENCAO LTDA,34939789000162,,
TELETEX COMPUTADORES E SISTEMAS LTDA,79345583000304,,
TERRAPLEIN LTDA,21591994000138,,
TOP SERVICE SERVICOS E SISTEMAS S/A,00973749000115,,
TOP SERVICE SERVICOS E SISTEMAS S/A,00973749002401,,
UP EMERGENCIAS LTDA,02906702000164,,
VERZANI & SANDRINI S.A.,57559387000995,,
VISEL VIGILANCIA E SEGURANCA LTDA,32401341000165,,
CONSTRUTORA HERA LTDA,10251085000134,,
DMW METALMECANICA E CONSTRUTORA LTDA,55054247000182,,
METAL M.I.B. LTDA,03772367000111,,
MHS - SERVICOS DE CONSTRUCAO E MANUTENCAO LTDA,44970916000140,,
PROTOS ENGENHARIA LTDA,24204038000144,,
RACHADEL SERVICOS E TECNOLOGIA LTDA,48860659000144,,
R M SERVICOS AUXILIARES DE TRANSPORTE AEREO LTDA,06990661002301,,
RP ATIVIDADES AUXILIARES AO TRANSPORTE AEREO S/A,03769607000129,,
SAMTAL LTDA,04827603000112,,
T & M PINTURAS E PLACAS LTDA,22412410000182,,
TERRAPRIME CONSTRUTORA E INCORPORADORA LTDA,09265066000188,,
"VANDERLANDE INDUSTRIES DO BRASIL COMERCIALIZACAO, IMPORTACAO E INSTALACAO DE SISTEMAS DE BAGAGEM LTD",15006247000192,,
WSO TECNOLOGIA E ENERGIAS RENOVAVEIS LTDA.,05617497000105,,
CONTROLLER BMS COMERCIO E SERVICOS PARA AUTOMACAO LTDA,07230898000133,,
R.M. LOCADORA DE VEICULOS E TURISMO LTDA,07882647000133,,
JR SERVICOS AEROPORTUARIOS E LOGISTICA LTDA,60088964000165,,
TK ELEVADORES BRASIL LTDA,90347840000975,,
UNIAO SUL CONTROLE DE PRAGAS LTDA,07817370000165,,
SMS ESTACIONAMENTOS E SERVICOS LTDA,03528489000167,FLN.CT.24.013-00,
TOP SERVICE SERVICOS E SISTEMAS S/A,00973749001863,CAIN.SUP.23.011-00,
RADAR ENGENHARIA E MEIO AMBIENTE LTDA,44744093000134,MEA/VIX/NAT/FLN,CAIF
