Razão Social,CPF/CNPJ,Situação da solicitação,Área da pendência,Documento,Marcas e representações,Pendência
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,EM_ELABORACAO,TERCEIROS,,,"PEDRO FERREIRA ARIENTI - FOPAG - (FOLHA DE PAGAMENTO + RESUMO), O documento apresentado não é Folha de Pagamento (FOPAG), pois contém apenas recibos individuais, sem consolidação dos empregados e sem totalizadores de proventos, descontos, INSS patronal e FGTS. Há ainda mistura de salários e pró-labore no mesmo arquivo, comprometendo a base previdenciária. A ausência da folha analítica ou resumo caracteriza não conformidade. Base legal: CLT, art. 225; Lei nº 8.212/1991; IN RFB nº 971/2009."
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,EM_ELABORACAO,TERCEIROS,,,"PEDRO FERREIRA ARIENTI - Cartão ponto com total de horas extras ou noturnas, O controle de ponto apresentado possui falhas, como uso de planilha manual sem garantia de integridade, indícios de ponto britânico, registros incompletos, ausência de assinatura, apuração inconsistente de horas extras e banco de horas sem acordo formal. O documento não atende aos requisitos legais de controle de jornada. Base legal: CLT, arts. 74, 59 e 71; Portaria MTP nº 671/2021; Súmula 338 do TST."
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,EM_ELABORACAO,TERCEIROS,,,"PEDRO FERREIRA ARIENTI - DARF INSS, DCTFWEB E CND FEDERAL, Foi apresentado apenas o DARF previdenciário, que comprova o pagamento, mas não substitui a DCTFWeb, responsável pela declaração e confissão dos débitos, nem a CND Federal, que comprova a regularidade fiscal perante a Receita Federal e a Dívida Ativa da União. Dessa forma, o conjunto documental está incompleto. Base legal: Lei nº 8.212/1991; IN RFB nº 971/2009."
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,EM_ELABORACAO,TERCEIROS,,,"PEDRO FERREIRA ARIENTI - Cartão ponto com total de horas extras ou noturnas, consta horários britânicos."
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,EM_ELABORACAO,TERCEIROS,,,"PEDRO FERREIRA ARIENTI - DARF INSS, DCTFWEB E CND FEDERAL, não consta a DCTFWEB e a CND FEDERAL."
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,EM_ELABORACAO,TERCEIROS,,,"PEDRO FERREIRA ARIENTI - DARF INSS, DCTFWEB E CND FEDERAL, não consta a CND FEDERAL, DCTFWEB impossibilitando a continuidade da análise."
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,EM_ELABORACAO,TERCEIROS,,,"PEDRO FERREIRA ARIENTI - GFD - GUIA DO FGTS DIGITAL MENSAL, não consta comprovante de pagamento."
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,EM_ELABORACAO,TERCEIROS,,,"PEDRO FERREIRA ARIENTI - GRF - GUIA DO FGTS + COMPROVANTE DE PAGAMENTO, não consta o comprovante de pagamento."
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,EM_ELABORACAO,TERCEIROS,,,"PEDRO FERREIRA ARIENTI - RELAÇÃO SEFIP (RE + FPAS), O documento apresentado refere-se à DCTFWeb, utilizada para apuração e confissão de débitos previdenciários e geração do DARF, não substituindo a SEFIP/GFIP, que é o instrumento específico para prestação de informações de vínculos e remunerações à Previdência Social e ao FGTS. Assim, a exigência de SEFIP não foi atendida. Base legal: Lei nº 8.212/1991; IN RFB nº 971/2009."
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,EM_ELABORACAO,TERCEIROS,,,"PEDRO FERREIRA ARIENTI - Ficha de EPI, Não consta a função do colaborador, PGR encontra-se não conforme para o de para."
