Razão Social,CNPJ,Linhas de Fornecimento,Tipo,Situação Documento,Documento,Status,Data de Vencimento,Situação Análise Documento
51.808.742 THIAGO DE ASSIS DOMINGOS,51808742000189,PRESTAÇÃO DE SERVIÇOS ADMINISTRATIVOS AMBIENTAIS,SERVICO,REGULAR,CERTIDÃO JUDICIAL CRIMINAL - TRF,A vencer,2026-09-30T00:00:00-04:00,NÃO ANALISADO
51.808.742 THIAGO DE ASSIS DOMINGOS,51808742000189,PRESTAÇÃO DE SERVIÇOS ADMINISTRATIVOS AMBIENTAIS,SERVICO,ALERTA,CERTIDÃO JUDICIAL CÍVEL - TRF,A vencer,,NÃO ANALISADO
51.808.742 THIAGO DE ASSIS DOMINGOS,51808742000189,PRESTAÇÃO DE SERVIÇOS ADMINISTRATIVOS AMBIENTAIS,SERVICO,REGULAR,CERTIDÃO NEGATIVA RECEITA ESTADUAL,Vencido,2026-08-01T00:00:00-04:00,NÃO ANALISADO
51.808.742 THIAGO DE ASSIS DOMINGOS,51808742000189,PRESTAÇÃO DE SERVIÇOS ADMINISTRATIVOS AMBIENTAIS,SERVICO,ALERTA,CERTIFICADO DE REGULARIDADE FGTS,A vencer,,NÃO ANALISADO
51.808.742 THIAGO DE ASSIS DOMINGOS,51808742000189,PRESTAÇÃO DE SERVIÇOS ADMINISTRATIVOS AMBIENTAIS,SERVICO,REGULAR,CND Federal,A vencer,2026-12-29T00:00:00-04:00,NÃO ANALISADO
51.808.742 THIAGO DE ASSIS DOMINGOS,51808742000189,PRESTAÇÃO DE SERVIÇOS ADMINISTRATIVOS AMBIENTAIS,SERVICO,REGULAR,Cartão CNPJ,A vencer,2027-07-02T00:00:00-04:00,NÃO ANALISADO
51.808.742 THIAGO DE ASSIS DOMINGOS,51808742000189,PRESTAÇÃO DE SERVIÇOS ADMINISTRATIVOS AMBIENTAIS,SERVICO,REGULAR,Certidão Negativa de Débitos Trabalhistas,A vencer,2026-12-29T00:00:00-04:00,NÃO ANALISADO
51.808.742 THIAGO DE ASSIS DOMINGOS,51808742000189,PRESTAÇÃO DE SERVIÇOS ADMINISTRATIVOS AMBIENTAIS,SERVICO,ALERTA,Comprovante de Inscrição Sintegra,A vencer,,NÃO ANALISADO
51.808.742 THIAGO DE ASSIS DOMINGOS,51808742000189,PRESTAÇÃO DE SERVIÇOS ADMINISTRATIVOS AMBIENTAIS,SERVICO,REGULAR,IBAMA - Certidão Negativa de Débitos,Vencido,2026-08-01T00:00:00-04:00,NÃO ANALISADO
51.808.742 THIAGO DE ASSIS DOMINGOS,51808742000189,PRESTAÇÃO DE SERVIÇOS ADMINISTRATIVOS AMBIENTAIS,SERVICO,REGULAR,IBAMA - Certidão Negativa de Embargos,Vencido,2026-08-01T00:00:00-04:00,NÃO ANALISADO
51.808.742 THIAGO DE ASSIS DOMINGOS,51808742000189,PRESTAÇÃO DE SERVIÇOS ADMINISTRATIVOS AMBIENTAIS,SERVICO,ALERTA,IBAMA - Consulta de Regularidade,A vencer,,NÃO ANALISADO
ADAPTIVA ENGENHARIA E CONSTRUCAO LTDA,29132851000170,PRESTAÇÃO DE SERVIÇOS DE REFORMA TERMINAL,SERVICO,REGULAR,CERTIDÃO JUDICIAL CRIMINAL - TRF,A vencer,2026-09-30T00:00:00-04:00,NÃO ANALISADO
ADAPTIVA ENGENHARIA E CONSTRUCAO LTDA,29132851000170,PRESTAÇÃO DE SERVIÇOS DE REFORMA TERMINAL,SERVICO,ALERTA,CERTIDÃO JUDICIAL CÍVEL - TRF,A vencer,,NÃO ANALISADO
ADAPTIVA ENGENHARIA E CONSTRUCAO LTDA,29132851000170,PRESTAÇÃO DE SERVIÇOS DE REFORMA TERMINAL,SERVICO,ALERTA,CERTIDÃO NEGATIVA RECEITA ESTADUAL,A vencer,,NÃO ANALISADO
ADAPTIVA ENGENHARIA E CONSTRUCAO LTDA,29132851000170,PRESTAÇÃO DE SERVIÇOS DE REFORMA TERMINAL,SERVICO,REGULAR,CERTIFICADO DE REGULARIDADE FGTS,A vencer,2026-08-26T00:00:00-04:00,NÃO ANALISADO
ADAPTIVA ENGENHARIA E CONSTRUCAO LTDA,29132851000170,PRESTAÇÃO DE SERVIÇOS DE REFORMA TERMINAL,SERVICO,REGULAR,CND Federal,A vencer,2026-12-29T00:00:00-04:00,NÃO ANALISADO
ADAPTIVA ENGENHARIA E CONSTRUCAO LTDA,29132851000170,PRESTAÇÃO DE SERVIÇOS DE REFORMA TERMINAL,SERVICO,REGULAR,Cartão CNPJ,A vencer,2027-07-02T00:00:00-04:00,NÃO ANALISADO
