Documento Fornecedor,Fornecedor,Contrato 1,Contrato 2,Contrato 3,Contrato 4,Contrato 5,Contrato 6,Contrato 7,Contrato 8,Contrato 9,Contrato 10,Filial
51808742000189,51.808.742 THIAGO DE ASSIS DOMINGOS,,,,,,,,,,,
29132851000170,ADAPTIVA ENGENHARIA E CONSTRUCAO LTDA,ADAPTIVA x FLN,,,,,,,,,,CAIF
04812571000181,ALPES ENGENHARIA LTDA,,,,,,,,,,,
04432182000120,AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,,,,,,,,,,,
48572080000186,BLUEGROUND AIRPORT SERVICES LTDA,,,,,,,,,,,
03938048000133,BROOKS AMBIENTAL LTDA,23.007-00,,,,,,,,,,
76324110000170,CALHAS REIS LTDA,FLN2026-1,,,,,,,,,,CAIF
61603387000165,CENTRO SANEAMENTO E SERVICOS AVANCADOS LTDA,,,,,,,,,,,
07230898000133,CONTROLLER BMS COMERCIO E SERVICOS PARA AUTOMACAO LTDA,,,,,,,,,,,
31733363000160,CORPUS SANEAMENTO E OBRAS LTDA,,,,,,,,,,,
03872184000178,ECOTECH ASSESSORIA AMBIENTAL LTDA,,,,,,,,,,,
52176523000197,FOKUS CONSULTORIA LTDA,,,,,,,,,,,
26978458000103,G.R. TURISMO E TRANSPORTE LTDA,MEA.CT.22.006-00 AEROPORTOS,,,,,,,,,,MEA
87169900001117,GRABER SEGURANCA LTDA,MES.CT.23.018-00,,,,,,,,,,MEA
05208211001100,IN HAUS INDUSTRIAL E SERVICOS DE LOGISTICA S/A,CAIN.SUP.24.002-00,,,,,,,,,,CAIN
60088964000165,JR SERVICOS AEROPORTUARIOS E LOGISTICA LTDA,,,,,,,,,,,
13389550000277,KARUANA SERVICOS AUXILIARES DE TRANSPORTE AEREO LTDA,ZAB.25.AVSEC.1510,,,,,,,,,,CAIN
13389550000358,KARUANA SERVICOS AUXILIARES DE TRANSPORTE AEREO LTDA,,,,,,,,,,,
13389550000196,KARUANA SERVICOS AUXILIARES DE TRANSPORTE AEREO LTDA,ZAB.25.AVSEC.1510,,,,,,,,,,VIX
34331150000108,LEVE ESTACIONAMENTO LTDA,VIX.24004,00,CAIN.SUP.24.008-00,,,,,,,,VIX
11394929000169,LINHA AMBIENTAL CONSULTORIA EM NEGOCIOS E MEIO AMBIENTE LTDA,,,,,,,,,,,
20845454000170,MATICA ENGENHARIA LTDA,Contrato de empreitada global com preço máximo garantido para execução de obras multidisciplinares no aeroporto internacional de FLorianópolis,,,,,,,,,,
09557452000143,MED MAIS SOLUCOES EM SERVICOS ESPECIAIS LTDA,ZAB.CT.24.009-00,FLN ZAB.CT.24.009-00,MEA VIX.24.SA.0745,,,,,,,,
03772367000111,METAL M.I.B. LTDA,,,,,,,,,,,
07760239000109,NEPOS SISTEMAS DE CONTROLE E AUTOMACAO EM ESTACIONAMENTO E TRAFEGO LTDA.,VIX.24.MANUTENÇÃO.0200,,,,,,,,,,VIX
45654990000110,ONET ENGENHARIA E MANUTENCAO LTDA,,,,,,,,,,,
83411025000105,ONSEG SERVICOS DE VIGILANCIA E SEGURANCA LTDA,23.032-00,FLN,,,,,,,,,CAIF
79283065000141,ORBENK ADMINISTRACAO E SERVICOS LTDA.,CAIF.24.MA.0445,CAIF.25.TECA.1673,,,,,,,,,CAIF
08699066000123,PROTEG SEGURANCA PATRIMONIAL LTDA,CAIN.SUP.23.009-00,,,,,,,,,,CAIN
24204038000144,PROTOS ENGENHARIA LTDA,,,,,,,,,,,
49663037000199,R.J.V ENGENHARIA LTDA,,,,,,,,,,,
07882647000133,R.M. LOCADORA DE VEICULOS E TURISMO LTDA,,,,,,,,,,,
48860659000144,RACHADEL SERVICOS E TECNOLOGIA LTDA,,,,,,,,,,,
44744093000134,RADAR ENGENHARIA E MEIO AMBIENTE LTDA,MEA,VIX,NAT,FLN,,,,,,,CAIF
12069791000195,SAO FRANCISCO ATENDIMENTO EMERGENCIAL LTDA,CAIN.SUP.23.008-00,,,,,,,,,,CAIN
03528489000167,SMS ESTACIONAMENTOS E SERVICOS LTDA,FLN.CT.24.013-00,,,,,,,,,,CAIF
34939789000162,SOUZA COSTA MANUTENCAO LTDA,,,,,,,,,,,
79345583000304,TELETEX COMPUTADORES E SISTEMAS LTDA,,,,,,,,,,,
21591994000138,TERRAPLEIN LTDA,,,,,,,,,,,
09265066000188,TERRAPRIME CONSTRUTORA E INCORPORADORA LTDA,,,,,,,,,,,
00973749002401,TOP SERVICE SERVICOS E SISTEMAS S/A,,,,,,,,,,,
00973749000115,TOP SERVICE SERVICOS E SISTEMAS S/A,23.024-00,FLN,,,,,,,,,CAIF
00973749001863,TOP SERVICE SERVICOS E SISTEMAS S/A,CAIN.SUP.23.011-00,,,,,,,,,,CAIN
02906702000164,UP EMERGENCIAS LTDA,,,,,,,,,,,
15006247000192,"VANDERLANDE INDUSTRIES DO BRASIL COMERCIALIZACAO, IMPORTACAO E INSTALACAO DE SISTEMAS DE BAGAGEM LTD",,,,,,,,,,,
57559387000995,VERZANI & SANDRINI S.A.,,,,,,,,,,,
32401341000165,VISEL VIGILANCIA E SEGURANCA LTDA,,,,,,,,,,,
05617497000105,WSO TECNOLOGIA E ENERGIAS RENOVAVEIS LTDA.,,,,,,,,,,,
