Razão Social,CPF/CNPJ,Situação da solicitação,Área da pendência,Documento,Marcas e representações,Pendência
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,APROVADO,DOCUMENTOS,,,RECIBO DE FÉRIAS + COMPROVANTE DE PAGAMENTO
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,APROVADO,DOCUMENTOS,,,"RECIBO DE FÉRIAS + COMPROVANTE DE PAGAMENTO, para comprovação que não houve férias  enviar a folha de pagamento para comprovação."
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,APROVADO,DOCUMENTOS,,,"PGR, 
Páginas 5 e 6 encontra-se ilegíveis,
Não consta relatório das assinaturas digitais,
Não consta AET conforme a NR01."
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,APROVADO,DOCUMENTOS,,,"PCMSO
Não consta relatório analítico,
Não consta relatório de assinaturas digitais.
Não consta riscos ergonômicos."
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,APROVADO,DOCUMENTOS,,,"GRRF - GUIA DE RECOLHIMENTO RESCISÓRIO DO FGTS, para comprovação que não houve rescisão na competência pode ser enviado os documentos abaixo: 
• Relatório do eSocial demonstrando ausência de eventos S-2299 no período
• Folha de pagamento do mês
• SEFIP sem códigos de movimentação de rescisão
• Relatório do FGTS Digital sem eventos rescisórios"
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,APROVADO,DOCUMENTOS,,,"GFD - GUIA DO FGTS DIGITAL RESCISÓRIA, para comprovação que não houve rescisão na competência pode ser enviado os documentos abaixo: 
• Relatório do eSocial demonstrando ausência de eventos S-2299 no período
• Folha de pagamento do mês
• SEFIP sem códigos de movimentação de rescisão
• Relatório do FGTS Digital sem eventos rescisórios"
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,APROVADO,DOCUMENTOS,,,"CIPA - composição / reuniões / atas/ treinamento, Caso a empresa se enquadre na obrigatoriedade de constituição da CIPA, conforme o Quadro I da NR-05, deve apresentar a ata de constituição ou eleição, os certificados de treinamento dos membros e documento que comprove o número de empregados. Caso não se enquadre, deve apresentar o documento de designação do empregado responsável, o certificado de treinamento do designado e documento que comprove o número de empregados."
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,APROVADO,DOCUMENTOS,,,"Seguro garantia, deve ser enviado documento correspondente ao  seguro garantia do contrato
com a Zurich."
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,APROVADO,DOCUMENTOS,,,"SESMT - composição de acordo com NR 04, Caso a empresa não se enquadre na obrigatoriedade de constituição do SESMT, conforme a NR-04, deve apresentar o analítico da GRF ou documento equivalente que comprove o número de empregados, para verificação do não enquadramento de acordo com o Quadro da NR-04."
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,APROVADO,DOCUMENTOS,,,"CONVENÇÃO COLETIVA DA CATEGORIA, não identificado: o número do registro no MTE, número de solicitação e/ou número do processo para autenticação da convenção."
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,APROVADO,DOCUMENTOS,,,"PCMSO, não consta relatório analítico e mantem não conforme até o ajuste do PGR para o de para ."
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,APROVADO,TERCEIROS,,,"PEDRO FERREIRA ARIENTI - ASO, não consta o relatório de assinatura digital, PCMSO encontra-se não conforme para o de para ."
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,APROVADO,TERCEIROS,,,"PEDRO FERREIRA ARIENTI - Ordens de Serviço, A empresa deve elaborar e fornecer Ordem de Serviço aos empregados, antes do início das atividades, informando os riscos do trabalho e as medidas de prevenção, conforme o PGR e as Normas Regulamentadoras, com registro de ciência do trabalhador.
Base legal: CLT, art. 157; NR-01."
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,APROVADO,TERCEIROS,,,"PEDRO FERREIRA ARIENTI - Capacitação de acordo com a ordem de serviço, A empresa deve elaborar e fornecer Ordem de Serviço aos empregados, antes do início das atividades, informando os riscos do trabalho e as medidas de prevenção, conforme o PGR e as Normas Regulamentadoras, com registro de ciência do trabalhador.
Base legal: CLT, art. 157; NR-01."
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,APROVADO,TERCEIROS,,,"PEDRO FERREIRA ARIENTI - Avaliação ergonômica, A empresa deve realizar a Análise Ergonômica do Trabalho quando as atividades apresentarem riscos ergonômicos, com o objetivo de avaliar as condições de trabalho e adequá-las às características psicofisiológicas dos trabalhadores. A análise deve estar integrada ao PGR e servir de base para a adoção de medidas de prevenção e melhoria das condições de trabalho.
Base legal: NR-17; NR-01."
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,APROVADO,TERCEIROS,,,"PEDRO FERREIRA ARIENTI - Ficha de EPI, Não consta a função do colaborador, PGR encontra-se não conforme para o de para."
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,APROVADO,TERCEIROS,,,"PEDRO FERREIRA ARIENTI - RELAÇÃO SEFIP (RE + FPAS), O documento apresentado refere-se à DCTFWeb, utilizada para apuração e confissão de débitos previdenciários e geração do DARF, não substituindo a SEFIP/GFIP, que é o instrumento específico para prestação de informações de vínculos e remunerações à Previdência Social e ao FGTS. Assim, a exigência de SEFIP não foi atendida. Base legal: Lei nº 8.212/1991; IN RFB nº 971/2009."
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,APROVADO,TERCEIROS,,,"PEDRO FERREIRA ARIENTI - GRF - GUIA DO FGTS + COMPROVANTE DE PAGAMENTO, não consta o comprovante de pagamento."
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,APROVADO,TERCEIROS,,,"PEDRO FERREIRA ARIENTI - GFD - GUIA DO FGTS DIGITAL MENSAL, não consta comprovante de pagamento."
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,APROVADO,TERCEIROS,,,"PEDRO FERREIRA ARIENTI - DARF INSS, DCTFWEB E CND FEDERAL, não consta a CND FEDERAL, DCTFWEB impossibilitando a continuidade da análise."
