Razão Social,CNPJ,Situação da Última Solicitação,Linhas de Fornecimento,Tipo,Documento,Status,Data de Vencimento,Situação Análise Documento
ADAPTIVA ENGENHARIA E CONSTRUCAO LTDA,29132851000170,APROVADO,PRESTAÇÃO DE SERVIÇOS DE REFORMA TERMINAL,SERVICO,Avaliação ergonômica,N/A,,REPROVADO
ADAPTIVA ENGENHARIA E CONSTRUCAO LTDA,29132851000170,APROVADO,PRESTAÇÃO DE SERVIÇOS DE REFORMA TERMINAL,SERVICO,CERTIDÃO CRIMINAL - TRF3 - Abrangência Regional,A vencer,2026-06-15T00:00:00Z,APROVADO
ADAPTIVA ENGENHARIA E CONSTRUCAO LTDA,29132851000170,APROVADO,PRESTAÇÃO DE SERVIÇOS DE REFORMA TERMINAL,SERVICO,CERTIDÃO CÍVEL - TRF3 - Abrangência Regional,Vencido,2026-06-02T00:00:00Z,NÃO ANALISADO
ADAPTIVA ENGENHARIA E CONSTRUCAO LTDA,29132851000170,APROVADO,PRESTAÇÃO DE SERVIÇOS DE REFORMA TERMINAL,SERVICO,CERTIDÃO NEGATIVA DE DÉBITOS DOS TRIBUTOS FEDERAIS,A vencer,2026-06-21T00:00:00Z,APROVADO
ADAPTIVA ENGENHARIA E CONSTRUCAO LTDA,29132851000170,APROVADO,PRESTAÇÃO DE SERVIÇOS DE REFORMA TERMINAL,SERVICO,CERTIDÃO NEGATIVA RECEITA ESTADUAL,A vencer,2026-07-11T00:00:00Z,APROVADO
ADAPTIVA ENGENHARIA E CONSTRUCAO LTDA,29132851000170,APROVADO,PRESTAÇÃO DE SERVIÇOS DE REFORMA TERMINAL,SERVICO,CERTIDÃO NEGATIVA RECEITA MUNICIPAL,Vencido,2026-06-07T00:00:00Z,APROVADO
ADAPTIVA ENGENHARIA E CONSTRUCAO LTDA,29132851000170,APROVADO,PRESTAÇÃO DE SERVIÇOS DE REFORMA TERMINAL,SERVICO,CERTIFICADO DE REGULARIDADE FGTS,N/A,,APROVADO
ADAPTIVA ENGENHARIA E CONSTRUCAO LTDA,29132851000170,APROVADO,PRESTAÇÃO DE SERVIÇOS DE REFORMA TERMINAL,SERVICO,CIPA - composição / reuniões / atas/ treinamento,N/A,,REPROVADO
ADAPTIVA ENGENHARIA E CONSTRUCAO LTDA,29132851000170,APROVADO,PRESTAÇÃO DE SERVIÇOS DE REFORMA TERMINAL,SERVICO,CND Federal,A vencer,2026-06-21T00:00:00Z,NÃO ANALISADO
ADAPTIVA ENGENHARIA E CONSTRUCAO LTDA,29132851000170,APROVADO,PRESTAÇÃO DE SERVIÇOS DE REFORMA TERMINAL,SERVICO,COMPROVANTE BANCÁRIO DE PAGAMENTO DOS SALÁRIOS,N/A,,REPROVADO
ADAPTIVA ENGENHARIA E CONSTRUCAO LTDA,29132851000170,APROVADO,PRESTAÇÃO DE SERVIÇOS DE REFORMA TERMINAL,SERVICO,CONSULTA ATUALIZADA DE OPTANTE DO SIMPLES NACIONAL,A vencer,2027-05-07T00:00:00Z,APROVADO
ADAPTIVA ENGENHARIA E CONSTRUCAO LTDA,29132851000170,APROVADO,PRESTAÇÃO DE SERVIÇOS DE REFORMA TERMINAL,SERVICO,CONVENÇÃO COLETIVA DA CATEGORIA,A vencer,2027-05-07T00:00:00Z,APROVADO
ADAPTIVA ENGENHARIA E CONSTRUCAO LTDA,29132851000170,APROVADO,PRESTAÇÃO DE SERVIÇOS DE REFORMA TERMINAL,SERVICO,Cartão CNPJ,A vencer,2027-03-04T00:00:00Z,NÃO ANALISADO
ADAPTIVA ENGENHARIA E CONSTRUCAO LTDA,29132851000170,APROVADO,PRESTAÇÃO DE SERVIÇOS DE REFORMA TERMINAL,SERVICO,Certidão Negativa de Débitos Trabalhistas,A vencer,2026-08-31T00:00:00Z,NÃO ANALISADO
ADAPTIVA ENGENHARIA E CONSTRUCAO LTDA,29132851000170,APROVADO,PRESTAÇÃO DE SERVIÇOS DE REFORMA TERMINAL,SERVICO,Comprovante de Inscrição Sintegra,N/A,,APROVADO
ADAPTIVA ENGENHARIA E CONSTRUCAO LTDA,29132851000170,APROVADO,PRESTAÇÃO DE SERVIÇOS DE REFORMA TERMINAL,SERVICO,DCTFWEB,Vencido,2026-06-07T00:00:00Z,REPROVADO
ADAPTIVA ENGENHARIA E CONSTRUCAO LTDA,29132851000170,APROVADO,PRESTAÇÃO DE SERVIÇOS DE REFORMA TERMINAL,SERVICO,DECLARAÇÃO DE EXISTÊNCIA DE SUBCONTRATAÇÃO,N/A,,APROVADO
ADAPTIVA ENGENHARIA E CONSTRUCAO LTDA,29132851000170,APROVADO,PRESTAÇÃO DE SERVIÇOS DE REFORMA TERMINAL,SERVICO,FOPAG - (FOLHA DE PAGAMENTO + RESUMO),Vencido,2026-06-07T00:00:00Z,REPROVADO
ADAPTIVA ENGENHARIA E CONSTRUCAO LTDA,29132851000170,APROVADO,PRESTAÇÃO DE SERVIÇOS DE REFORMA TERMINAL,SERVICO,GFD - GUIA DO FGTS DIGITAL MENSAL,N/A,,REPROVADO
ADAPTIVA ENGENHARIA E CONSTRUCAO LTDA,29132851000170,APROVADO,PRESTAÇÃO DE SERVIÇOS DE REFORMA TERMINAL,SERVICO,GRRF - GUIA DE RECOLHIMENTO RESCISÓRIO DO FGTS,N/A,,APROVADO
ADAPTIVA ENGENHARIA E CONSTRUCAO LTDA,29132851000170,APROVADO,PRESTAÇÃO DE SERVIÇOS DE REFORMA TERMINAL,SERVICO,KIT RESCISÃO,N/A,,APROVADO
ADAPTIVA ENGENHARIA E CONSTRUCAO LTDA,29132851000170,APROVADO,PRESTAÇÃO DE SERVIÇOS DE REFORMA TERMINAL,SERVICO,Laudo de Periculosidade,N/A,,REPROVADO
ADAPTIVA ENGENHARIA E CONSTRUCAO LTDA,29132851000170,APROVADO,PRESTAÇÃO DE SERVIÇOS DE REFORMA TERMINAL,SERVICO,Laudo de insalubridade,A vencer,2027-03-27T00:00:00Z,REPROVADO
ADAPTIVA ENGENHARIA E CONSTRUCAO LTDA,29132851000170,APROVADO,PRESTAÇÃO DE SERVIÇOS DE REFORMA TERMINAL,SERVICO,PCMSO,A vencer,2027-03-27T00:00:00Z,REPROVADO
ADAPTIVA ENGENHARIA E CONSTRUCAO LTDA,29132851000170,APROVADO,PRESTAÇÃO DE SERVIÇOS DE REFORMA TERMINAL,SERVICO,PGR,A vencer,2027-03-24T00:00:00Z,REPROVADO
ADAPTIVA ENGENHARIA E CONSTRUCAO LTDA,29132851000170,APROVADO,PRESTAÇÃO DE SERVIÇOS DE REFORMA TERMINAL,SERVICO,RECIBO DE FÉRIAS + COMPROVANTE DE PAGAMENTO,N/A,,APROVADO
ADAPTIVA ENGENHARIA E CONSTRUCAO LTDA,29132851000170,APROVADO,PRESTAÇÃO DE SERVIÇOS DE REFORMA TERMINAL,SERVICO,SESMT - composição de acordo com NR 04,N/A,,REPROVADO
ADAPTIVA ENGENHARIA E CONSTRUCAO LTDA,29132851000170,APROVADO,PRESTAÇÃO DE SERVIÇOS DE REFORMA TERMINAL,SERVICO,Seguro de Responsabilidade Civil,N/A,,APROVADO
ADAPTIVA ENGENHARIA E CONSTRUCAO LTDA,29132851000170,APROVADO,PRESTAÇÃO DE SERVIÇOS DE REFORMA TERMINAL,SERVICO,Seguro garantia,A vencer,2026-07-27T00:00:00Z,APROVADO
ADAPTIVA ENGENHARIA E CONSTRUCAO LTDA,29132851000170,APROVADO,PRESTAÇÃO DE SERVIÇOS DE REFORMA TERMINAL,SERVICO,TJSP - CERTIDÃO DE DISTRIBUIÇÃO CÍVEL EM GERAL,N/A,,REPROVADO
ALPES ENGENHARIA LTDA,04812571000181,EM_ELABORACAO,PRESTAÇÃO DE SERVIÇOS PARA RECUPERAÇÃO DE PAVIMENTOS NA PISTA,SERVICO,Avaliação ergonômica,Não anexado,,NÃO ANALISADO
ALPES ENGENHARIA LTDA,04812571000181,EM_ELABORACAO,PRESTAÇÃO DE SERVIÇOS PARA RECUPERAÇÃO DE PAVIMENTOS NA PISTA,SERVICO,CERTIDÃO CRIMINAL - TRF3 - Abrangência Regional,Vencido,2026-03-23T00:00:00Z,NÃO ANALISADO
ALPES ENGENHARIA LTDA,04812571000181,EM_ELABORACAO,PRESTAÇÃO DE SERVIÇOS PARA RECUPERAÇÃO DE PAVIMENTOS NA PISTA,SERVICO,CERTIDÃO CÍVEL - TRF3 - Abrangência Regional,Vencido,2026-03-23T00:00:00Z,NÃO ANALISADO
ALPES ENGENHARIA LTDA,04812571000181,EM_ELABORACAO,PRESTAÇÃO DE SERVIÇOS PARA RECUPERAÇÃO DE PAVIMENTOS NA PISTA,SERVICO,CERTIDÃO NEGATIVA DE DÉBITOS DOS TRIBUTOS FEDERAIS,Não anexado,,NÃO ANALISADO
ALPES ENGENHARIA LTDA,04812571000181,EM_ELABORACAO,PRESTAÇÃO DE SERVIÇOS PARA RECUPERAÇÃO DE PAVIMENTOS NA PISTA,SERVICO,CERTIDÃO NEGATIVA RECEITA ESTADUAL,Vencido,2026-03-22T00:00:00Z,NÃO ANALISADO
ALPES ENGENHARIA LTDA,04812571000181,EM_ELABORACAO,PRESTAÇÃO DE SERVIÇOS PARA RECUPERAÇÃO DE PAVIMENTOS NA PISTA,SERVICO,CERTIDÃO NEGATIVA RECEITA MUNICIPAL,Não anexado,,NÃO ANALISADO
ALPES ENGENHARIA LTDA,04812571000181,EM_ELABORACAO,PRESTAÇÃO DE SERVIÇOS PARA RECUPERAÇÃO DE PAVIMENTOS NA PISTA,SERVICO,CERTIFICADO DE REGULARIDADE FGTS,Vencido,2026-01-18T00:00:00Z,NÃO ANALISADO
ALPES ENGENHARIA LTDA,04812571000181,EM_ELABORACAO,PRESTAÇÃO DE SERVIÇOS PARA RECUPERAÇÃO DE PAVIMENTOS NA PISTA,SERVICO,CIPA - composição / reuniões / atas/ treinamento,Não anexado,,NÃO ANALISADO
